disease,step,rr_mean,rr_lci,rr_uci
cancer,2730,0.982656510605919,0.966149005222502,0.999876247664545
cancer,2740,0.982551591147594,0.965937891115815,0.999876357471408
cancer,2750,0.982446671689269,0.965726777009128,0.999876467278272
cancer,2760,0.982341752230945,0.965515662902441,0.999876577085136
cancer,2770,0.98223683277262,0.965304548795754,0.999876686892
cancer,2780,0.982131913314295,0.965093434689067,0.999876796698863
cancer,2790,0.98202699385597,0.96488232058238,0.999876906505727
cancer,2800,0.981922074397646,0.964671206475692,0.999877016312591
cancer,2810,0.981817154939321,0.964460092369005,0.999877126119455
cancer,2820,0.981712235480996,0.964248978262318,0.999877235926318
cancer,2830,0.981607316022672,0.964037864155631,0.999877345733182
cancer,2840,0.981502396564347,0.963826750048944,0.999877455540046
cancer,2850,0.981397477106022,0.963615635942257,0.99987756534691
cancer,2860,0.981292557647697,0.96340452183557,0.999877675153773
cancer,2870,0.981187638189373,0.963193407728883,0.999877784960637
cancer,2880,0.981082718731048,0.962982293622195,0.999877894767501
cancer,2890,0.980977799272723,0.962771179515508,0.999878004574365
cancer,2900,0.980872879814399,0.962560065408821,0.999878114381229
cancer,2910,0.980767960356074,0.962348951302134,0.999878224188092
cancer,2920,0.980663040897749,0.962137837195447,0.999878333994956
cancer,2930,0.980558121439424,0.96192672308876,0.99987844380182
cancer,2940,0.9804532019811,0.961715608982073,0.999878553608683
cancer,2950,0.980348282522775,0.961504494875386,0.999878663415547
cancer,2960,0.98024336306445,0.961293380768698,0.999878773222411
cancer,2970,0.980138443606126,0.961082266662011,0.999878883029275
cancer,2980,0.980033524147801,0.960871152555324,0.999878992836138
cancer,2990,0.979928604689476,0.960660038448637,0.999879102643002
cancer,3000,0.979823685231151,0.96044892434195,0.999879212449866
cancer,3010,0.979718765772827,0.960237810235263,0.99987932225673
cancer,3020,0.979613846314502,0.960026696128576,0.999879432063594
cancer,3030,0.979508926856177,0.959815582021889,0.999879541870457
cancer,3040,0.979404007397852,0.959604467915201,0.999879651677321
cancer,3050,0.979299087939528,0.959393353808514,0.999879761484185
cancer,3060,0.979194168481203,0.959182239701827,0.999879871291049
cancer,3070,0.979089249022878,0.95897112559514,0.999879981097912
cancer,3080,0.978984329564554,0.958760011488453,0.999880090904776
cancer,3090,0.978879410106229,0.958548897381766,0.99988020071164
cancer,3100,0.978774490647904,0.958337783275078,0.999880310518504
cancer,3110,0.978669571189579,0.958126669168391,0.999880420325367
cancer,3120,0.978564651731255,0.957915555061704,0.999880530132231
cancer,3130,0.97845973227293,0.957704440955017,0.999880639939095
cancer,3140,0.978354812814605,0.95749332684833,0.999880749745959
cancer,3150,0.97824989335628,0.957282212741643,0.999880859552822
cancer,3160,0.978144973897956,0.957071098634956,0.999880969359686
cancer,3170,0.978040054439631,0.956859984528269,0.99988107916655
cancer,3180,0.977935134981306,0.956648870421581,0.999881188973414
cancer,3190,0.977830215522981,0.956437756314894,0.999881298780277
cancer,3200,0.977725296064657,0.956226642208207,0.999881408587141
cancer,3210,0.977620376606332,0.95601552810152,0.999881518394005
cancer,3220,0.977515457148007,0.955804413994833,0.999881628200869
cancer,3230,0.977410537689683,0.955593299888146,0.999881738007732
cancer,3240,0.977305618231358,0.955382185781458,0.999881847814596
cancer,3250,0.977200698773033,0.955171071674771,0.99988195762146
cancer,3260,0.977095779314709,0.954959957568084,0.999882067428324
cancer,3270,0.976990859856384,0.954748843461397,0.999882177235187
cancer,3280,0.976885940398059,0.95453772935471,0.999882287042051
cancer,3290,0.976781020939734,0.954326615248023,0.999882396848915
cancer,3300,0.97667610148141,0.954115501141336,0.999882506655779
cancer,3310,0.976571182023085,0.953904387034649,0.999882616462642
cancer,3320,0.97646626256476,0.953693272927961,0.999882726269506
cancer,3330,0.976361343106435,0.953482158821274,0.99988283607637
cancer,3340,0.976256423648111,0.953271044714587,0.999882945883234
cancer,3350,0.976151504189786,0.9530599306079,0.999883055690097
cancer,3360,0.976046584731461,0.952848816501213,0.999883165496961
cancer,3370,0.975941665273137,0.952637702394526,0.999883275303825
cancer,3380,0.975836745814812,0.952426588287839,0.999883385110689
cancer,3390,0.975731826356487,0.952215474181152,0.999883494917553
cancer,3400,0.975626906898162,0.952004360074465,0.999883604724416
cancer,3410,0.975521987439838,0.951793245967777,0.99988371453128
cancer,3420,0.975417067981513,0.95158213186109,0.999883824338144
cancer,3430,0.975312148523188,0.951371017754403,0.999883934145008
cancer,3440,0.975207229064864,0.951159903647716,0.999884043951871
cancer,3450,0.975102309606539,0.950948789541029,0.999884153758735
cancer,3460,0.974997390148214,0.950737675434342,0.999884263565599
cancer,3470,0.974892470689889,0.950526561327655,0.999884373372462
cancer,3480,0.974787551231565,0.950315447220967,0.999884483179326
cancer,3490,0.97468263177324,0.95010433311428,0.99988459298619
cancer,3500,0.974577712314915,0.949893219007593,0.999884702793054
cancer,3510,0.97447279285659,0.949682104900906,0.999884812599918
cancer,3520,0.974367873398266,0.949470990794219,0.999884922406781
cancer,3530,0.974262953939941,0.949259876687532,0.999885032213645
cancer,3540,0.974158034481616,0.949048762580844,0.999885142020509
cancer,3550,0.974053115023292,0.948837648474158,0.999885251827373
cancer,3560,0.973948195564967,0.94862653436747,0.999885361634236
cancer,3570,0.973843276106642,0.948415420260783,0.9998854714411
cancer,3580,0.973738356648317,0.948204306154096,0.999885581247964
cancer,3590,0.973633437189993,0.947993192047409,0.999885691054828
cancer,3600,0.973528517731668,0.947782077940722,0.999885800861692
cancer,3610,0.973423598273343,0.947570963834035,0.999885910668555
cancer,3620,0.973318678815019,0.947359849727347,0.999886020475419
cancer,3630,0.973213759356694,0.947148735620661,0.999886130282283
cancer,3640,0.973108839898369,0.946937621513973,0.999886240089147
cancer,3650,0.973003920440044,0.946726507407286,0.99988634989601
cancer,3660,0.97289900098172,0.946515393300599,0.999886459702874
cancer,3670,0.972794081523395,0.946304279193912,0.999886569509738
cancer,3680,0.97268916206507,0.946093165087225,0.999886679316602
cancer,3690,0.972584242606746,0.945882050980538,0.999886789123465
cancer,3700,0.972479323148421,0.94567093687385,0.999886898930329
cancer,3710,0.972374403690096,0.945459822767163,0.999887008737193
cancer,3720,0.972269484231771,0.945248708660476,0.999887118544057
cancer,3730,0.972164564773447,0.945037594553789,0.99988722835092
cancer,3740,0.972059645315122,0.944826480447102,0.999887338157784
cancer,3750,0.971954725856797,0.944615366340415,0.999887447964648
cancer,3760,0.971849806398472,0.944404252233728,0.999887557771512
cancer,3770,0.971744886940148,0.944193138127041,0.999887667578376
cancer,3780,0.971639967481823,0.943982024020353,0.999887777385239
cancer,3790,0.971535048023498,0.943770909913666,0.999887887192103
cancer,3800,0.971430128565174,0.943559795806979,0.999887996998967
cancer,3810,0.971325209106849,0.943348681700292,0.99988810680583
cancer,3820,0.971220289648524,0.943137567593605,0.999888216612694
cancer,3830,0.971115370190199,0.942926453486918,0.999888326419558
cancer,3840,0.971010450731875,0.942715339380231,0.999888436226422
cancer,3850,0.97090553127355,0.942504225273544,0.999888546033285
cancer,3860,0.970800611815225,0.942293111166856,0.999888655840149
cancer,3870,0.9706956923569,0.942081997060169,0.999888765647013
